,Country Name,Obesity rate (%)
176,Afghanistan,5.5
84,Albania,21.7
37,Algeria,27.4
48,Andorra,25.6
153,Angola,8.2
112,Antigua and Barbuda,18.9
29,Argentina,28.3
102,Armenia,20.2
26,Australia,29
104,Austria,20.1
105,Azerbaijan,19.9
20,Bahamas,31.6
24,Bahrain,29.8
190,Bangladesh,3.6
67,Barbados,23.1
57,Belarus,24.5
80,Belgium,22.1
59,Belize,24.1
141,Benin,9.6
166,Bhutan,6.4
103,Bolivia,20.2
117,Bosnia and Herzegovina,17.9
113,Botswana,18.9
81,Brazil,22.1
128,Brunei,14.1
52,Bulgaria,25
174,Burkina Faso,5.6
177,Burundi,5.4
187,Cambodia,3.9
134,Cameroon,11.4
25,Canada,29.4
133,Cape Verde,11.8
158,Central African Republic,7.5
170,Chad,6.1
31,Chile,28
168,China,6.2
77,Colombia,22.3
156,Comoros,7.8
1,Cook Islands,55.9
47,Costa Rica,25.7
58,Croatia,24.4
55,Cuba,24.6
83,Cyprus,21.8
45,Czech Republic,26
163,Democratic Republic of the Congo,6.7
110,Denmark,19.7
130,Djibouti,13.5
32,Dominica,27.9
36,Dominican Republic,27.6
107,Ecuador,19.9
17,Egypt,32
56,El Salvador,24.6
155,Equatorial Guinea,8
182,Eritrea,5
91,Estonia,21.2
123,Eswatini,16.5
184,Ethiopia,4.5
9,Federated States of Micronesia,45.8
23,Fiji,30.2
79,Finland,22.2
86,France,21.6
126,Gabon,15
137,Gambia,10.3
85,Georgia,21.7
78,Germany,22.3
135,Ghana,10.9
53,Greece,24.9
89,Grenada,21.3
92,Guatemala,21.2
157,Guinea,7.7
143,Guinea-Bissau,9.5
100,Guyana,20.2
72,Haiti,22.7
88,Honduras,21.4
41,Hungary,26.4
82,Iceland,21.9
188,India,3.9
161,Indonesia,6.9
46,Iran,25.8
22,Iraq,30.4
50,Ireland,25.3
44,Israel,26.1
106,Italy,19.9
138,Ivory Coast,10.3
54,Jamaica,24.7
185,Japan,4.3
12,Jordan,35.5
93,Kazakhstan,21
160,Kenya,7.1
8,Kiribati,46
11,Kuwait,37.9
120,Kyrgyzstan,16.6
179,Laos,5.3
64,Latvia,23.6
18,Lebanon,32
121,Lesotho,16.6
140,Liberia,9.9
15,Libya,32.5
42,Lithuania,26.3
73,Luxembourg,22.6
178,Madagascar,5.3
171,Malawi,5.8
124,Malaysia,15.6
147,Maldives,8.6
148,Mali,8.6
27,Malta,28.9
3,Marshall Islands,52.9
131,Mauritania,12.7
136,Mauritius,10.8
28,Mexico,28.9
114,Moldova,18.9
95,Mongolia,20.6
65,Montenegro,23.3
43,Morocco,26.1
159,Mozambique,7.2
172,Myanmar,5.8
118,Namibia,17.2
0,Nauru,61
186,Nepal,4.1
98,Netherlands,20.4
21,New Zealand,30.8
62,Nicaragua,23.7
175,Niger,5.5
144,Nigeria,8.9
5,Niue,50
162,North Korea,6.8
76,North Macedonia,22.4
66,Norway,23.1
38,Oman,27
149,Pakistan,8.6
2,Palau,55.3
71,Panama,22.7
90,Papua New Guinea,21.3
99,Paraguay,20.3
108,Peru,19.7
167,Philippines,6.4
68,Poland,23.1
94,Portugal,20.8
14,Qatar,35.1
142,Republic of the Congo,9.6
75,Romania,22.5
69,Russia,23.1
173,Rwanda,5.8
70,Saint Kitts and Nevis,22.9
109,Saint Lucia,19.7
63,Saint Vincent and the Grenadines,23.7
7,Samoa,47.3
132,Sao Tome and Principe,12.4
13,Saudi Arabia,35.4
145,Senegal,8.8
87,Serbia,21.5
129,Seychelles,14
146,Sierra Leone,8.7
169,Singapore,6.1
97,Slovakia,20.5
101,Slovenia,20.2
74,Solomon Islands,22.5
152,Somalia,8.3
30,South Africa,28.3
183,South Korea,4.7
165,South Sudan,6.6
61,Spain,23.8
181,Sri Lanka,5.2
164,Sudan,6.6
40,Suriname,26.4
96,Sweden,20.6
111,Switzerland,19.5
34,Syria,27.8
127,Tajikistan,14.2
151,Tanzania,8.4
139,Thailand,10
189,Timor-Leste,3.8
150,Togo,8.4
6,Tonga,48.2
115,Trinidad and Tobago,18.6
39,Tunisia,26.9
16,Turkey,32.1
116,Turkmenistan,18.6
4,Tuvalu,51.6
180,Uganda,5.3
60,Ukraine,24.1
19,United Arab Emirates,31.7
35,United Kingdom,27.8
10,United States,41.9
33,Uruguay,27.9
122,Uzbekistan,16.6
51,Vanuatu,25.2
49,Venezuela,25.6
191,Vietnam,2.1
119,Yemen,17.1
154,Zambia,8.1
125,Zimbabwe,15.5
